Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.8608280001,5.2567270007,7.7664699992
64,18.2105090003,5.9082920002,11.3776320014
128,25.6318140002,5.9091350017,18.4167540018
256,40.2037840001,5.8742829999,32.2768140025
512,69.0869979998,5.9399350006,59.4238700038
1000,124.3958609998,5.9117190009,111.6870229961
2000,238.4790579993,6.2570939995,218.5763260024
4000,464.7175740004,6.2906880016,432.0952470023
6000,690.6714110002,6.4900179980,644.8246639967
7000,802.9502839996,6.6392750023,751.5220340006
10000,1137.2353289993,6.8733850019,1067.8638649993
