Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.9579010000,5.2530239995,7.9266830001
64,18.0228980000,5.7301220004,11.3739230004
128,25.3184819999,5.6324140008,18.3988650008
256,39.9845900000,5.8079969997,32.1082620001
512,68.9258940001,5.8237860000,59.2645179997
1000,125.2024659999,6.1024559995,112.3564670002
2000,237.0534070001,5.9184190005,217.8938130003
4000,462.2932310000,5.9986699992,430.6010930003
6000,688.7826860000,6.0050260001,643.3029930000
7000,798.5562890000,5.9943390000,747.3574400004
10000,1139.9336650001,6.0929570002,1069.5694950004
50000,5662.2863620000,8.6591970006,5330.7129759993
100000,11382.7701160000,12.3104450002,10712.4611629995
