Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.8723519994,5.2090290012,7.9740399998
64,18.3244229993,5.9536230033,11.3654049970
128,25.5847399998,5.8089780025,18.5069930004
256,40.1921899999,5.8088399991,32.2959519997
512,69.0958679998,5.9995139977,59.4682949949
1000,124.7816740004,5.8748389995,112.2612009998
2000,236.4453699999,6.0128530003,217.3794270018
4000,461.9235060001,5.9952520002,430.4991919976
6000,687.4447360002,6.0410700003,643.3034820007
7000,799.8973079994,6.0588050010,749.9664930003
10000,1140.0815010006,6.3655649973,1070.5088829957
