Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.3455750002,5.1799149995,7.5413050000
64,17.4136470000,5.6742909998,10.9009460006
128,25.1308980000,5.7115530004,18.0208930005
256,40.0356820000,5.8355190004,31.7800410001
512,67.9801410001,5.6620459997,58.7994149996
1000,122.6121020000,5.7245280000,110.3988979992
2000,234.2175790002,5.7075029996,215.7991030000
4000,457.5665970000,5.7671510000,426.6316690003
6000,681.0647360000,5.8039900013,637.2875439997
7000,793.8462870000,5.8147199999,742.5120750002
10000,1128.7591410000,5.8688420001,1058.9952549997
50000,5603.7466500001,8.4511240001,5282.1931049991
100000,11272.7867920001,11.9205739999,10638.9928030001
500000,56762.0514670000,39.6773409995,53516.5675510003
