Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,13.8976290002,5.4168770011,7.7501909989
64,18.2286600000,5.8707889984,11.4287520004
128,25.7180590001,6.3226009975,17.9430739991
256,40.2855510004,5.7846720014,32.3263899991
512,69.0222919998,5.8506730003,59.4857260007
1000,123.6710460000,5.8675089977,111.0898170001
2000,237.9931930001,6.0626480016,218.0411600010
4000,463.5984830004,6.0568520008,431.2422020007
6000,694.6325250003,6.1227109996,643.5319320005
7000,803.8321819999,6.3022779999,750.8547690003
10000,1143.5755830002,6.3014400001,1069.6645669998
50000,5672.3334019999,8.8173220009,5329.5250099991
100000,11397.0029870002,11.9541780008,10719.0836689998
