Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,35.2460310003,5.7393449992,28.8079829980
64,69.4532880001,5.7770600002,62.8010259978
128,138.3645949997,5.9136709990,131.0828420008
256,275.2337819999,6.0176660018,267.0224880017
512,548.6720420001,5.8710690001,539.1113110036
1000,1071.0352949994,6.0325440010,1058.1477350006
2000,2140.8691500006,6.0001379969,2121.8046100009
4000,4279.0942569999,6.1049040016,4247.3407249991
6000,6412.9066159995,6.2587690018,6368.1483260002
7000,7484.9290009998,6.0818529967,7434.6274869982
10000,10703.0401790002,6.3746339986,10632.5893959999
