Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,10.7790750000,5.0409599999,5.0951169999
64,11.1251419999,5.0366179999,5.5172799996
128,11.8308900001,4.9318519998,6.0939320000
256,12.4843509998,5.1969899992,6.1057370007
512,13.2508749999,5.3079630001,5.9165449999
1000,15.2454110000,5.7048980009,6.0515850000
2000,18.6982429998,5.8740770002,6.2705610003
4000,25.1985080000,5.7493629998,6.3377350003
6000,31.6074699999,5.7367349998,6.4772029999
7000,34.9958100000,5.8142310001,6.4695549994
10000,46.9175930000,5.8670749995,6.4825710007
50000,175.8293420000,6.0112979996,6.6564599986
100000,331.1927170001,6.2689860000,6.7123899993
500000,1628.4300139998,6.9191900005,6.7104320000
