Tamanho,Tempo Total (ms),Tempo Jacobiana (ms),Tempo SL (ms)
32,10.8917270000,4.9246110000,5.3087530001
64,11.5999600000,4.9988659997,5.6810770000
128,12.5729469999,5.1372580001,6.0150030002
256,13.9126990000,5.2974479997,6.2010459999
512,16.2476300000,5.9386689996,6.0754440001
1000,19.7962529999,5.3608220000,6.3602790004
2000,27.4469700000,5.5855980001,6.3623739997
4000,42.7304090000,5.6436780002,6.5031720003
6000,57.5762790000,5.6982720000,6.4970579998
7000,69.2405510000,5.8728529997,6.6986480001
10000,93.6194600001,5.9387599999,6.6476710002
50000,397.8328950000,6.3063769998,6.6550269999
100000,775.1586790000,6.6319029999,6.6020180000
500000,4728.8941280000,6.8086000000,6.6551970002
